relative_window,category,exposure_us,reference_sets,reference_frames,positive_z_gt_4_38_pixel_frames,positive_z_gt_4_38_fraction,max_positive_z
0.5,bright,34,3,24,2302,0.00022615028167597204,8.999796414635501
0.5,bright,49,3,24,10319,0.0010137466362356018,11.490153264741254
0.5,bright,81,1,8,,,
0.5,bright,144,1,8,,,
0.5,bright,272,1,8,,,
0.5,bright,522,1,8,,,
0.5,bright,985,1,8,,,
0.5,bright,1757,1,8,,,
0.5,bright,2867,2,16,3163,0.00031073559554348375,10.96422240368596
0.5,bright,4156,7,56,45,4.42083521955636e-06,5.2742076369350235
0.5,bright,5240,10,80,176,1.7290377747598208e-05,6.1345819170745175
0.5,bright,5670,10,80,277,2.7212696795935817e-05,6.2868997062532115
0.5,bright,5815,9,72,252,2.475667722951562e-05,6.0244357124091685
0.5,bright,5952,9,72,282,2.7703900709219857e-05,5.6637414231411105
0.5,bright,6080,9,72,317,3.114232810220814e-05,6.257294225055626
0.5,bright,6197,9,72,434,4.263649967305468e-05,6.354265352584575
0.5,bright,6301,9,72,397,3.9001590714752776e-05,5.893912631917266
0.5,bright,6387,9,72,423,4.1555851063829786e-05,6.245730453830745
0.5,bright,6443,9,72,422,4.145761028117298e-05,6.119914842299561
