category,exposure_us,n_frames,height,width,image_mean_adu,image_std_adu,temporal_std_median_adu,temporal_std_mean_adu,temporal_std_p99_adu,positive_z_gt_4_38_count,positive_z_gt_4_38_fraction,zero_temporal_std_pixel_count
bright,25,8,1128,1128,26.019352451775564,2.7285293037249745,2.384848003542364,2.4120757400804225,4.092676385936225,0,0.0,2
bright,27,8,1128,1128,25.96704866612595,2.7250947446712863,2.384848003542364,2.4099299341655334,4.090767042988393,0,0.0,0
bright,34,8,1128,1128,32.83451998374704,3.1923827336320607,2.7838821814150108,2.8348588135584607,4.794202227691277,0,0.0,0
bright,49,8,1128,1128,39.65896193680524,3.5872362662380866,3.152380053229623,3.19430308145106,5.406882188470542,0,0.0,0
bright,81,8,1128,1128,60.25950734998239,4.612045425077988,4.0600954422279285,4.118756535057019,6.963072238602727,0,0.0,0
bright,144,8,1128,1128,94.55255606797948,5.914042723644837,5.2141634036535525,5.287591460724803,8.94339840329167,0,0.0,0
bright,272,8,1128,1128,176.8928811978145,8.295438887766132,7.310095758606723,7.414174383089355,12.519360007604222,0,0.0,0
bright,522,8,1128,1128,327.8447051951298,11.486498043011053,10.086345968684595,10.227320594919206,17.298392266335043,0,0.0,0
bright,985,8,1128,1128,601.9739945841822,15.91503213308366,13.851331163465842,14.05162706611263,23.824554035700228,0,0.0,0
bright,1757,8,1128,1128,1068.5372374809806,21.81585448383151,18.73999733191016,19.00600238847328,32.11600068501681,0,0.0,0
bright,2867,8,1128,1128,1737.943199733728,28.535247488510482,24.06988523030386,24.407586431796854,41.189918366027385,0,0.0,0
bright,4156,8,1128,1128,2507.4313602458064,35.02454932398062,28.997575329671964,29.38465034954902,49.47474103014588,0,0.0,0
bright,5240,8,1128,1128,3158.3999593479643,39.91179634117091,32.526671747967086,32.96573765600772,55.48817441581584,0,0.0,0
bright,5670,8,1128,1128,3413.414653811271,41.581062494021374,33.7432863692913,34.197844175852104,57.56504473202466,0,0.0,0
bright,5815,8,1128,1128,3492.869157227692,41.9991775435136,34.054872999322725,34.5226696954456,58.174195578859994,0,0.0,0
bright,5952,8,1128,1128,3571.1744569642497,42.44232884695734,34.370908847454125,34.83800458980269,58.69185952923966,0,0.0,0
bright,6080,8,1128,1128,3648.999230283468,42.966261577337356,34.72908543281841,35.211414175802936,59.34387473638697,0,0.0,0
bright,6197,8,1128,1128,3712.5552753728434,43.63757752805708,35.340309845840345,35.815604352571874,60.293188617238606,0,0.0,0
bright,6301,8,1128,1128,3770.574653661945,43.698443508523766,35.19033070319175,35.6708220960822,60.03631713388155,0,0.0,0
bright,6387,8,1128,1128,3821.1149556658997,43.940719071312344,35.34119409414458,35.82108779086661,60.35509117918417,0,0.0,0
bright,6443,8,1128,1128,3856.7535213426136,44.081227505544426,35.42156828826189,35.91456919163259,60.54238700984311,0,0.0,0
dark,25,8,1128,1128,10.322197052933706,0.8895578633254663,0.7806247497997998,0.7882066935777751,1.4142135623730951,0,0.0,2023
dark,27,8,1128,1128,10.319502504746994,0.8891806679541705,0.7806247497997998,0.7876604689495578,1.4142135623730951,0,0.0,2004
dark,34,8,1128,1128,10.318348470273126,0.8901351755457778,0.7806247497997998,0.7883562493649147,1.4142135623730951,0,0.0,2046
dark,49,8,1128,1128,10.320712339985413,0.8892521902858129,0.7806247497997998,0.78751944756158,1.4142135623730951,0,0.0,2063
dark,81,8,1128,1128,10.321909993366782,0.8899829516161696,0.7806247497997998,0.7880260195695857,1.4142135623730951,0,0.0,2056
dark,144,8,1128,1128,10.321668222800664,0.8905070624266953,0.7806247497997998,0.7883608019921639,1.4142135623730951,0,0.0,1968
dark,272,8,1128,1128,10.318575209999498,0.8897954026265802,0.7806247497997998,0.7878785894045652,1.4142135623730951,0,0.0,1962
dark,522,8,1128,1128,10.322807422916352,0.8903037557970689,0.7806247497997998,0.7879832370640798,1.4142135623730951,0,0.0,2086
dark,985,8,1128,1128,10.319336084861174,0.8903866841545032,0.7806247497997998,0.788252382134798,1.4142135623730951,0,0.0,2054
dark,1757,8,1128,1128,10.319063466689302,0.8899279343549259,0.7806247497997998,0.787986665938288,1.4142135623730951,0,0.0,2045
dark,2867,8,1128,1128,10.321649360570394,0.890732942595551,0.7806247497997998,0.7888832027219117,1.4142135623730951,0,0.0,1989
dark,4156,8,1128,1128,10.321119155066395,0.8904365396751658,0.7806247497997998,0.7883004402922784,1.4142135623730951,0,0.0,1978
dark,5240,8,1128,1128,10.32119214796791,0.8904307894693053,0.7806247497997998,0.7888666904392091,1.4142135623730951,0,0.0,2083
dark,5670,8,1128,1128,10.318577273055933,0.8907496807526085,0.7806247497997998,0.7888209215943796,1.4142135623730951,0,0.0,1978
dark,5815,8,1128,1128,10.319181257387706,0.8913015697198147,0.7806247497997998,0.7894500497891194,1.4142135623730951,0,0.0,2060
dark,5952,8,1128,1128,10.319907846216237,0.8909237210875003,0.7806247497997998,0.7895019639469465,1.4142135623730951,0,0.0,2077
dark,6080,8,1128,1128,10.32083946355817,0.8911579442342114,0.7806247497997998,0.7888603666311252,1.4142135623730951,0,0.0,2041
dark,6197,8,1128,1128,10.318536994335043,0.8905086212964805,0.7806247497997998,0.7879531157705304,1.4142135623730951,0,0.0,2030
dark,6301,8,1128,1128,10.321264944387858,0.890138971942982,0.7806247497997998,0.7885008533392976,1.4142135623730951,0,0.0,1975
dark,6387,8,1128,1128,10.317196597096475,0.8911366685977382,0.7806247497997998,0.7891986290554214,1.4142135623730951,0,0.0,1983
dark,6443,8,1128,1128,10.322914308887883,0.8907914284620173,0.7806247497997998,0.7890797461294048,1.4142135623730951,0,0.0,2005
