exp_us,temp_c,dark_n,white_n,signal_DN,s2_dark_DN2,s2_white_DN2,s2_signal_DN2,sigma_dark_DN,sigma_white_DN,signal_e,white_p999,white_max,clip_threshold_code,sat_px_ge_top_code,fit_signal_DN,linearity_dev_pct,used_for_linearity_fit,used_for_sensitivity_fit
24.999999999999996,3.8000000000000003,8,8,15.697155398841861,0.7845948471712854,7.150977003555918,6.366382156384633,0.8857735868557413,2.6741310744905378,37.18389662406806,35.0,42.875,4090.905,0.0,19.356138357387504,-18.90347594642579,False,True
27.04988742920561,3.95,8,8,15.647546161378953,0.784860794457658,7.139605996033279,6.354745201575621,0.8859236956181147,2.6720041160210215,37.066380761445224,35.0,43.375,4090.905,0.0,20.583855956023303,-23.981462973655688,False,True
34.10772583553994,3.95,8,8,22.516171513473918,0.7823401099892945,9.865984073926223,9.083643963936929,0.8844999208531872,3.1410164077773013,53.336988304809154,43.0,50.75,4090.905,0.0,24.81093315857107,-9.248993701409477,False,True
49.448182402177245,3.95,8,8,29.33824959681983,0.7829309139174472,12.533091428033384,11.750160514115937,0.8848338340713736,3.540210647409753,69.49733326967907,51.0,59.75,4090.905,0.0,33.99863206809964,-13.707558768673433,False,True
80.6648148461308,3.95,8,8,49.93759735661562,0.7827638587582337,20.836486034610104,20.05372217585187,0.8847394298652196,4.5646999939328,118.29369147353476,75.0,84.25,4090.905,0.0,52.69488264047331,-5.232548486102719,False,True
143.91381864972442,4.300000000000001,8,8,84.23088784517881,0.7846906816913636,34.37977752875047,33.59508684705911,0.8858276817143182,5.863427114644683,199.52867552166057,113.0,125.125,4090.905,0.0,90.57594574643457,-7.005235053265258,False,True
271.5150321514613,4.65,8,8,166.57430598781502,0.7830946589272926,67.44630941272067,66.66321475379337,0.884926357911941,8.212570207475896,394.5862557068003,203.0,218.25,4090.905,0.0,166.9988035050558,-0.25419195127821925,False,True
522.0788571499065,4.65,8,8,317.52189777221344,0.7840849550770861,128.47107558385272,127.68699062877563,0.8854857170373139,11.334508175648942,752.1554780244446,364.0,388.375,4090.905,0.0,317.06636972809645,0.14366961860623415,True,True
984.9801708734406,4.65,8,8,591.6546584993209,0.7853504556386384,242.76847900822355,241.9831285525849,0.8862000088234249,15.581029459192468,1401.5294554840304,652.875,684.0,4090.905,0.0,594.3070031370493,-0.4462920045915551,True,True
1757.299734153597,4.65,8,8,1058.2181740142912,0.7819580918727993,443.5754761700603,442.7935180781875,0.884283943014233,21.061231591957302,2506.7392268512945,1137.875,1178.25,4090.905,0.0,1056.8642665752725,0.12810608531651815,True,True
2866.6828748474586,4.65,8,8,1727.621550373158,0.7862931267211477,731.462991160062,730.6766980333408,0.8867317106775576,27.045572487193944,4092.442197477851,1827.625,1880.125,4090.905,0.0,1721.2954865801312,0.36751759604014606,True,True
4156.016099348094,4.65,8,8,2497.11024109074,0.7842249912743999,1058.6587236302566,1057.8744986389822,0.8855647866047972,32.53703618386679,5915.230288824841,2616.5,2678.125,4090.905,0.0,2493.5023247081663,0.1446927218323784,True,True
5240.40102036084,4.65,8,8,3148.078767199996,0.7854393394224432,1333.2745911827335,1332.489151843311,0.8862501562326763,36.51403279812754,7457.264228436245,3282.0,3356.0,4090.905,0.0,3142.9616229382946,0.16281281401449468,True,False
5670.090307386202,5.050000000000001,8,8,3403.096076538215,0.7893854482318232,1435.3427852513605,1434.5533998031287,0.888473662092368,37.88591803363567,8061.356946310461,3541.875,3609.0,4090.905,0.0,3400.310925202537,0.08190872531788457,True,False
5815.355667135883,5.050000000000001,8,8,3482.5499759703043,0.7818827132437902,1462.730218309214,1461.9483355959703,0.884241320705943,38.24565620183832,8249.569747152063,3622.625,3701.5,4090.905,0.0,3487.3131849831907,-0.13658678645202676,True,False
5952.358815234985,5.050000000000001,8,8,3560.8545491180334,0.7862682908116997,1490.112943727982,1489.3266754371703,0.8867177063821945,38.60198108553474,8435.059989118565,3702.625,3777.25,4090.905,0.0,3569.3670449139076,-0.2384875438350869,True,False
6080.049862400293,5.050000000000001,8,8,3638.67839081991,0.7864688139701704,1520.8444351088028,1520.0579662948326,0.8868307696343032,38.998005527318995,8619.411459891666,3782.0,3856.125,4090.905,0.0,3645.8437058073473,-0.19653379479827787,True,False
6196.952975228083,5.050000000000001,8,8,3702.2367383785086,0.7850579005029453,1543.2963565034538,1542.5112986029508,0.8860349318751182,39.28481076069291,8769.970396537594,3846.25,3927.0,4090.905,0.0,3715.859262227245,-0.36660494618870937,False,False
6300.7904034331,5.050000000000001,8,8,3760.2533887175564,0.7832734796409194,1561.4430718178355,1560.6597983381946,0.8850273892038141,39.51509928897858,8907.401993146557,3905.5,3986.875,4090.905,0.0,3778.0495250622066,-0.47104031396616497,False,False
6387.385162560833,5.050000000000001,8,8,3810.797759068803,0.7845382512784316,1573.1919833129166,1572.407445061638,0.885741639124204,39.66348425583558,9027.133026847607,3956.875,4034.625,4090.905,0.0,3829.912816780594,-0.4990990298274993,False,False
6443.2844402115925,5.050000000000001,8,8,3846.4306070337257,0.7863560809288241,1582.9447544749871,1582.1583983940584,0.8867672078560551,39.786238254891444,9111.541195173862,3993.25,4067.125,4090.905,0.0,3863.3919854144838,-0.43902815051624655,False,False
